Timestamp,Data
04:51:06.632,ADC Bits:2250 ADC Volt:2.747
04:51:06.737,ADC Bits:2250 ADC Volt:2.747
04:51:06.815,ADC Bits:2250 ADC Volt:2.747
04:51:06.931,ADC Bits:2250 ADC Volt:2.747
04:51:07.034,ADC Bits:2249 ADC Volt:2.746
04:51:07.148,ADC Bits:2249 ADC Volt:2.746
04:51:07.229,ADC Bits:2250 ADC Volt:2.747
04:51:07.331,ADC Bits:2251 ADC Volt:2.748
04:51:07.447,ADC Bits:2249 ADC Volt:2.746
04:51:07.530,ADC Bits:2250 ADC Volt:2.747
04:51:07.628,ADC Bits:2249 ADC Volt:2.746
04:51:07.746,ADC Bits:2250 ADC Volt:2.747
04:51:07.854,ADC Bits:2251 ADC Volt:2.748
04:51:07.930,ADC Bits:2249 ADC Volt:2.746
04:51:08.016,ADC Bits:2250 ADC Volt:2.747
04:51:08.141,ADC Bits:2250 ADC Volt:2.747
04:51:08.257,ADC Bits:2249 ADC Volt:2.746
04:51:08.331,ADC Bits:2250 ADC Volt:2.747
04:51:08.414,ADC Bits:2250 ADC Volt:2.747
04:51:08.529,ADC Bits:2250 ADC Volt:2.747
04:51:08.651,ADC Bits:2250 ADC Volt:2.747
04:51:08.729,ADC Bits:2249 ADC Volt:2.746
04:51:08.829,ADC Bits:2249 ADC Volt:2.746
04:51:08.951,ADC Bits:2249 ADC Volt:2.746
04:51:09.036,ADC Bits:2248 ADC Volt:2.744
04:51:09.130,ADC Bits:2250 ADC Volt:2.747
04:51:09.215,ADC Bits:2250 ADC Volt:2.747
04:51:09.337,ADC Bits:2250 ADC Volt:2.747
04:51:09.458,ADC Bits:2250 ADC Volt:2.747
04:51:09.540,ADC Bits:2249 ADC Volt:2.746
04:51:09.620,ADC Bits:2250 ADC Volt:2.747
04:51:09.730,ADC Bits:2251 ADC Volt:2.748
04:51:09.829,ADC Bits:2251 ADC Volt:2.748
04:51:09.929,ADC Bits:2251 ADC Volt:2.748
04:51:10.030,ADC Bits:2249 ADC Volt:2.746
04:51:10.150,ADC Bits:2250 ADC Volt:2.747
04:51:10.234,ADC Bits:2251 ADC Volt:2.748
04:51:10.328,ADC Bits:2248 ADC Volt:2.744
04:51:10.429,ADC Bits:2250 ADC Volt:2.747
04:51:10.528,ADC Bits:2250 ADC Volt:2.747
04:51:10.657,ADC Bits:2250 ADC Volt:2.747
04:51:10.741,ADC Bits:2249 ADC Volt:2.746
04:51:10.825,ADC Bits:2249 ADC Volt:2.746
04:51:10.928,ADC Bits:2250 ADC Volt:2.747
04:51:11.027,ADC Bits:2250 ADC Volt:2.747
04:51:11.129,ADC Bits:2250 ADC Volt:2.747
04:51:11.258,ADC Bits:2250 ADC Volt:2.747
04:51:11.329,ADC Bits:2250 ADC Volt:2.747
04:51:11.435,ADC Bits:2249 ADC Volt:2.746
04:51:11.540,ADC Bits:2249 ADC Volt:2.746
04:51:11.614,ADC Bits:2250 ADC Volt:2.747
04:51:11.745,ADC Bits:2249 ADC Volt:2.746
04:51:11.830,ADC Bits:2249 ADC Volt:2.746
04:51:11.928,ADC Bits:2250 ADC Volt:2.747
04:51:12.029,ADC Bits:2251 ADC Volt:2.748
04:51:12.129,ADC Bits:2250 ADC Volt:2.747
04:51:12.237,ADC Bits:2249 ADC Volt:2.746
04:51:12.363,ADC Bits:2250 ADC Volt:2.747
04:51:12.432,ADC Bits:2250 ADC Volt:2.747
04:51:12.528,ADC Bits:2250 ADC Volt:2.747
04:51:12.630,ADC Bits:2250 ADC Volt:2.747
04:51:12.728,ADC Bits:2249 ADC Volt:2.746
04:51:12.828,ADC Bits:2250 ADC Volt:2.747
04:51:12.929,ADC Bits:2250 ADC Volt:2.747
04:51:13.045,ADC Bits:2250 ADC Volt:2.747
04:51:13.142,ADC Bits:2250 ADC Volt:2.747
04:51:13.228,ADC Bits:2250 ADC Volt:2.747
04:51:13.344,ADC Bits:2250 ADC Volt:2.747
04:51:13.427,ADC Bits:2249 ADC Volt:2.746
04:51:13.544,ADC Bits:2250 ADC Volt:2.747
04:51:13.629,ADC Bits:2249 ADC Volt:2.746
04:51:13.743,ADC Bits:2252 ADC Volt:2.749
04:51:13.844,ADC Bits:2249 ADC Volt:2.746
04:51:13.929,ADC Bits:2248 ADC Volt:2.744
04:51:14.027,ADC Bits:2250 ADC Volt:2.747
04:51:14.126,ADC Bits:2249 ADC Volt:2.746
04:51:14.223,ADC Bits:2249 ADC Volt:2.746
04:51:14.326,ADC Bits:2250 ADC Volt:2.747
04:51:14.428,ADC Bits:2250 ADC Volt:2.747
04:51:14.539,ADC Bits:2251 ADC Volt:2.748
04:51:14.652,ADC Bits:2249 ADC Volt:2.746
04:51:14.725,ADC Bits:2250 ADC Volt:2.747
04:51:14.824,ADC Bits:2250 ADC Volt:2.747
04:51:14.928,ADC Bits:2250 ADC Volt:2.747
04:51:15.026,ADC Bits:2249 ADC Volt:2.746
04:51:15.127,ADC Bits:2249 ADC Volt:2.746
04:51:15.225,ADC Bits:2253 ADC Volt:2.750
04:51:15.331,ADC Bits:2249 ADC Volt:2.746
04:51:15.454,ADC Bits:2250 ADC Volt:2.747
04:51:15.549,ADC Bits:2249 ADC Volt:2.746
04:51:15.641,ADC Bits:2250 ADC Volt:2.747
04:51:15.729,ADC Bits:2249 ADC Volt:2.746
